time,seconds_elapsed,relativeAltitude,pressure
1780626533945422300,-0.50457763671875,0,1010.4676055908203
1780626534948533500,0.498533447265625,-0.03699302673339844,1010.4721069335938
1780626535951658500,1.501658447265625,-0.07398414611816406,1010.4766845703125
1780626536954747400,2.504747314453125,-0.1109771728515625,1010.4811096191406
1780626537957833500,3.50783349609375,-0.13739967346191406,1010.4843139648438
1780626538312208400,3.86220849609375,-0.16646575927734375,1010.4876708984375
1780626539382165500,4.93216552734375,-0.1743927001953125,1010.4886627197266
1780626540452109600,6.002109619140625,-0.1770343780517578,1010.4888153076172
1780626541522133500,7.072133544921875,-0.17967796325683594,1010.4892730712891
1780626542592108500,8.142108642578124,-0.19553184509277344,1010.4911804199219
1780626543662095600,9.212095703125,-0.22723960876464844,1010.4949188232422
1780626544732049400,10.28204931640625,-0.2563037872314453,1010.4983520507812
1780626545802034400,11.352034423828124,-0.3117942810058594,1010.5049896240234
1780626546872033300,12.422033203125,-0.3752098083496094,1010.5128479003906
1780626547942008600,13.492008544921875,-0.4254131317138672,1010.5187225341797
1780626549011963400,14.56196337890625,-0.46768951416015625,1010.5237579345703
1780626550081979400,15.6319794921875,-0.5152511596679688,1010.5296325683594
1780626551151964400,16.70196435546875,-0.5469589233398438,1010.5332946777344
1780626552221927400,17.771927490234376,-0.5813102722167969,1010.5374145507812
1780626553291859500,18.841859375,-0.6235866546630859,1010.5423736572266
1780626554361801500,19.911801513671875,-0.6447257995605469,1010.5448913574219
1780626555431761400,20.981761474609375,-0.7028560638427734,1010.5519866943359
1780626556501745400,22.051745361328123,-1.0463581085205078,1010.5931091308594
1780626557571721500,23.121721435546874,-1.9923095703125,1010.7065582275391
1780626558641690400,24.1916904296875,-3.1945648193359375,1010.8506774902344
1780626559711665400,25.26166552734375,-4.3492584228515625,1010.9890747070312
1780626560781641500,26.331641357421876,-5.5673675537109375,1011.1351776123047
1780626561851634400,27.401634521484375,-6.54766845703125,1011.2527465820312
1780626562921583400,28.471583251953124,-6.870031356811523,1011.2915802001953
1780626563991521300,29.541521240234374,-6.899097442626953,1011.2948608398438
1780626565061447400,30.611447509765625,-6.870031356811523,1011.2915802001953
1780626566131368400,31.681368408203124,-6.803972244262695,1011.2833404541016
