time,seconds_elapsed,z,y,x
1780626033312857600,0.055857666015625,-0.99835205078125,-0.263519287109375,0.0350189208984375
1780626033322853600,0.065853515625,-1.044830322265625,-0.2735748291015625,-0.004150390625
1780626033332849000,0.075848876953125,-1.0522918701171875,-0.28564453125,-0.02679443359375
1780626033342843600,0.08584375,-1.0406341552734375,-0.3065032958984375,-0.038360595703125
1780626033352839700,0.095839599609375,-1.01202392578125,-0.3229522705078125,-0.0443115234375
1780626033362834700,0.105834716796875,-0.978424072265625,-0.3211517333984375,-0.047698974609375
1780626033372830700,0.115830810546875,-0.97564697265625,-0.2994384765625,-0.0340118408203125
1780626033382825700,0.12582568359375,-1.058868408203125,-0.2160186767578125,0.003448486328125
1780626033392820500,0.135820556640625,-1.1084136962890625,-0.1229248046875,0.061798095703125
1780626033402816800,0.145816650390625,-1.0419769287109375,-0.1291046142578125,0.13323974609375
1780626033412811800,0.155811767578125,-0.90325927734375,-0.233489990234375,0.1597442626953125
1780626033422806800,0.165806884765625,-0.79168701171875,-0.3211822509765625,0.139556884765625
1780626033432802600,0.175802490234375,-0.741668701171875,-0.3352813720703125,0.1041717529296875
1780626033442797000,0.185797119140625,-0.8040771484375,-0.2632293701171875,0.1248779296875
1780626033452793000,0.19579296875,-0.9297027587890625,-0.2943115234375,0.0929718017578125
1780626033462788000,0.2057880859375,-0.9945526123046875,-0.2848052978515625,0.021636962890625
1780626033472783000,0.215783203125,-1.07757568359375,-0.270904541015625,-0.030120849609375
1780626033482779100,0.225779052734375,-1.1311798095703125,-0.2534027099609375,-0.0515899658203125
1780626033492774000,0.23577392578125,-1.098175048828125,-0.2588653564453125,-0.0404510498046875
1780626033502770000,0.24577001953125,-0.99676513671875,-0.283966064453125,-0.030517578125
1780626033512765000,0.255764892578125,-0.850250244140625,-0.3419952392578125,-0.0282135009765625
1780626033522760000,0.265760009765625,-0.7247772216796875,-0.3429107666015625,-0.0107879638671875
1780626033532756000,0.275755859375,-0.6758880615234375,-0.2326202392578125,0.0570068359375
1780626033542751000,0.2857509765625,-0.7331390380859375,-0.21343994140625,0.10675048828125
1780626033552746000,0.29574609375,-0.7935638427734375,-0.20281982421875,0.1563720703125
1780626033562742000,0.305741943359375,-0.8461456298828125,-0.215484619140625,0.1749267578125
1780626033572737000,0.315737060546875,-0.99542236328125,-0.2515869140625,0.12603759765625
1780626033582732800,0.32573291015625,-1.0946044921875,-0.334564208984375,0.01611328125
1780626033592727800,0.335727783203125,-1.05877685546875,-0.43768310546875,-0.12091064453125
1780626033602723000,0.34572314453125,-1.0149993896484375,-0.540252685546875,-0.2563629150390625
1780626033612719000,0.355718994140625,-1.0044097900390625,-0.5986328125,-0.3271331787109375
1780626033622714000,0.365714111328125,-0.973907470703125,-0.5945892333984375,-0.3231964111328125
1780626033632710000,0.3757099609375,-0.939300537109375,-0.5140380859375,-0.255706787109375
1780626033642705000,0.385704833984375,-0.913726806640625,-0.4359893798828125,-0.172332763671875
1780626033652700000,0.395699951171875,-0.88385009765625,-0.390960693359375,-0.093841552734375
1780626033662696200,0.4056962890625,-0.8379669189453125,-0.36871337890625,-0.0314178466796875
1780626033672691200,0.415691162109375,-0.8126220703125,-0.3633270263671875,0.0030364990234375
1780626033682686200,0.425686279296875,-0.871063232421875,-0.3665008544921875,0.000396728515625
1780626033692682000,0.435681884765625,-0.96026611328125,-0.3846282958984375,-0.0374755859375
1780626033702677000,0.445677001953125,-0.9983673095703125,-0.421173095703125,-0.059967041015625
1780626033712673000,0.455673095703125,-0.9751739501953125,-0.4571380615234375,-0.0809783935546875
1780626033722668000,0.46566796875,-0.904266357421875,-0.4711456298828125,-0.096405029296875
1780626033732663000,0.4756630859375,-0.8505096435546875,-0.45660400390625,-0.0821380615234375
1780626033742659000,0.4856591796875,-0.831085205078125,-0.4214324951171875,-0.04132080078125
1780626033752654000,0.495654052734375,-0.8491973876953125,-0.3666229248046875,0.0034027099609375
1780626033762650000,0.505650146484375,-0.8595733642578125,-0.3269805908203125,0.0311126708984375
1780626033772645000,0.51564501953125,-0.8560638427734375,-0.3420562744140625,0.059783935546875
1780626033782639900,0.525639892578125,-0.8631439208984375,-0.39105224609375,0.08111572265625
1780626033792636000,0.535635986328125,-0.919219970703125,-0.3803558349609375,0.0556640625
1780626033802631000,0.545630859375,-1.0408782958984375,-0.286407470703125,0.122955322265625
1780626033812626200,0.555626220703125,-1.07000732421875,-0.2462005615234375,0.07781982421875
1780626033822622000,0.5656220703125,-0.9032440185546875,-0.241241455078125,0.03448486328125
1780626033832617000,0.575616943359375,-0.78033447265625,-0.251068115234375,0.0785980224609375
1780626033842613000,0.585613037109375,-0.77874755859375,-0.3796539306640625,0.145050048828125
1780626033852608000,0.59560791015625,-0.8291168212890625,-0.467132568359375,0.18621826171875
1780626033862603000,0.60560302734375,-0.86700439453125,-0.4497528076171875,0.13995361328125
1780626033872599000,0.61559912109375,-0.8627777099609375,-0.3329620361328125,0.10009765625
1780626033882594000,0.625593994140625,-1.0345458984375,-0.4210662841796875,-0.0260772705078125
1780626033892589000,0.635589111328125,-1.093353271484375,-0.4575042724609375,-0.08221435546875
1780626033902585000,0.645585205078125,-1.0401153564453125,-0.42938232421875,-0.06634521484375
1780626033912580000,0.655580078125,-0.9581298828125,-0.487945556640625,-0.018798828125
1780626033922576000,0.665575927734375,-0.836456298828125,-0.5244598388671875,0.018402099609375
1780626033932571000,0.67557080078125,-0.76007080078125,-0.510223388671875,-0.0070953369140625
1780626033942566000,0.68556591796875,-0.7540283203125,-0.510223388671875,-0.0511627197265625
1780626033952562200,0.695562255859375,-0.770782470703125,-0.4978485107421875,-0.0926513671875
1780626033962557200,0.70555712890625,-0.8193206787109375,-0.46875,-0.1014556884765625
1780626033972553000,0.715552978515625,-0.886962890625,-0.4417266845703125,-0.0618743896484375
