time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1780625760044656600,0.06865673828125,-0.218284064031085,0.167823861407625,-0.10325134960506561,0.049959357135347444,0.9803742026119162,0.00638749173023559,0.33391187008394235
1780625760054651600,0.078651611328125,-0.22149784352049934,0.1685056177171961,-0.10481137236451629,0.04978599067654745,0.980094353106423,0.005954234369443411,0.33530231667624605
1780625760064647700,0.088647705078125,-0.22592748482763808,0.1693933627871905,-0.10701829685358898,0.048873843642292525,0.9797080546125895,0.005025439818392833,0.3371898065317214
1780625760074643000,0.098642822265625,-0.2318487184996168,0.17056452475098696,-0.1099572663585732,0.04778498866160258,0.9791845767913124,0.0038439623303629694,0.3396774197805006
1780625760084638000,0.108637939453125,-0.23953964798908653,0.17203807936238455,-0.11373866009781237,0.04680296957137479,0.9784989326867212,0.0025188219138182416,0.34277842979291107
1780625760094633000,0.118633056640625,-0.24914884869832082,0.17384316709722686,-0.11842713548090979,0.04597594453869295,0.9776259311955655,0.0010494247404335124,0.34655391063160784
1780625760104628000,0.1286279296875,-0.2604792817489503,0.17602498557674118,-0.1239274563598442,0.045221878463548415,0.9765535901705926,-0.0006042952802842912,0.35111547512727953
1780625760114622700,0.138622802734375,-0.27289761683243674,0.17858393600456557,-0.12991441670777243,0.044678159156354674,0.9753075005937587,-0.002330290562273815,0.356454689217091
1780625760124617700,0.14861767578125,-0.28543002955321756,0.181481663588303,-0.13590319251004127,0.044435206467324774,0.9739501268799152,-0.004001103861591049,0.3624816389250005
1780625760134613800,0.15861376953125,-0.30066231069398186,0.18457168390723844,-0.1431780004593525,0.04423006645406788,0.972315710208594,-0.005971798319848529,0.36894749872035826
1780625760144608800,0.16860888671875,-0.3122084005611139,0.1877438153642858,-0.14865186175356884,0.043904696256145306,0.9708735698012848,-0.00771795321819045,0.3756159359748367
1780625760154603800,0.178603759765625,-0.32308080259350896,0.19094386480515022,-0.15380560791749434,0.0433479279394471,0.9694292188037339,-0.009558291837683546,0.38240556927695607
1780625760164598800,0.188598876953125,-0.33206662999569564,0.19443925849475807,-0.158081229135516,0.04211599884859704,0.9680228658764625,-0.011637794819150019,0.3899289834487526
1780625760174593800,0.19859375,-0.33829729718272267,0.19846368720225,-0.16105315509251977,0.040204724878932556,0.9666854311865811,-0.013905465991395942,0.3986591070699023
1780625760184588500,0.208588623046875,-0.3436503862836747,0.2026274020081824,-0.16360391876475125,0.03816343710750327,0.9653566496387358,-0.016198508833411694,0.4077183014091011
1780625760194584800,0.218584716796875,-0.3490757829293404,0.20689766211337898,-0.16617939080220295,0.03614989143094557,0.9639681141010439,-0.018527426533095553,0.4170261355430166
1780625760204579800,0.228579833984375,-0.3553224217273765,0.21162040252707265,-0.16902571801134955,0.03509183375020707,0.9624051631418091,-0.020576782557681438,0.42715723661419247
1780625760214574800,0.238574951171875,-0.36254273139486104,0.21688109538573455,-0.17223771618338313,0.03463247635226556,0.9606182263850481,-0.022568028460772098,0.4383587824091483
1780625760224569900,0.24856982421875,-0.3706163719872325,0.2225678701180243,-0.1758687067666234,0.033691940267223774,0.958596879232027,-0.0250168571942155,0.4505993023917115
1780625760234564900,0.25856494140625,-0.3781160748499959,0.2282767793409284,-0.17938163705076907,0.03115402787646518,0.9565114722891684,-0.02824371516369656,0.4632204860294032
1780625760244560000,0.268559814453125,-0.3805428049945107,0.23252823153291138,-0.180691544497709,0.027424814501449648,0.9551476288073378,-0.031209807530007846,0.4729071319393025
1780625760254555600,0.2785556640625,-0.37586778395643233,0.23473271854273273,-0.17857703320341786,0.02522807224748862,0.9549743849284023,-0.03216590473146325,0.47778759016130934
1780625760264550700,0.288550537109375,-0.3660847481515633,0.23580198619064163,-0.17399513370312397,0.023949010259258503,0.9555681562091979,-0.031821634112813656,0.47993707143950376
1780625760274545700,0.298545654296875,-0.3518731702554316,0.23639375110878097,-0.16754100935736368,0.020772233321343262,0.9565762101841628,-0.031779987780788964,0.4812710076236765
1780625760284541000,0.308541015625,-0.3341738726334457,0.2369869223583703,-0.15944203589861167,0.017368508415162156,0.9578248135311239,-0.031418332420531755,0.48250846401433073
1780625760294536000,0.318535888671875,-0.31394078215114074,0.23751997601588,-0.1503488584028595,0.0120291983037613,0.9591536559331496,-0.03168075370889783,0.48381832622836657
1780625760304531000,0.328531005859375,-0.29295471711475896,0.23760745952700751,-0.14137577350070424,0.0026345093701618067,0.960424692642651,-0.03376258612987736,0.4847131440870126
1780625760314526700,0.338526611328125,-0.2735586306171393,0.2373562911640605,-0.1335051163437986,-0.009636736910790504,0.9614781648658159,-0.03739075268187881,0.48522737014719347
1780625760324521700,0.348521728515625,-0.25770961989370655,0.23717568743727996,-0.1273895445976159,-0.02240739256911329,0.9621751283566218,-0.04169680790751619,0.4859318822096939
1780625760334516700,0.358516845703125,-0.24628234968930798,0.23730721159884513,-0.12336600862700255,-0.034936307935182716,0.9624491484715213,-0.04645156008823648,0.48731296706889915
1780625760344511700,0.36851171875,-0.23882143408668607,0.23824352192624085,-0.12108580258808331,-0.046076329230484374,0.962272252826057,-0.05109248602483551,0.4902918879896059
1780625760354506800,0.3785068359375,-0.23414942557672405,0.24063503706121014,-0.11978690145210226,-0.05410822329612874,0.9616409180845839,-0.05470562984702224,0.4960041494283973
1780625760364501800,0.388501708984375,-0.23149663543959292,0.24438432773283542,-0.11912428216921721,-0.05920759296722571,0.9606278829427817,-0.05727075720424028,0.5042711882297388
1780625760374497800,0.398497802734375,-0.23046240508976407,0.24875954845428183,-0.11892438098522566,-0.06161143581563522,0.9594375473893669,-0.05878209155341133,0.5136043547256991
1780625760384492800,0.408492919921875,-0.23094120448343533,0.2531830268120446,-0.11904407974629179,-0.06073989604310976,0.9582578174694185,-0.05889648342609344,0.5227350262808903
1780625760394487800,0.41848779296875,-0.23291252861821735,0.257150448759875,-0.11957393529037592,-0.05754870326443315,0.9571872698311773,-0.0580355735381225,0.5307280290615568
1780625760404482800,0.42848291015625,-0.23609072763220768,0.26030380096184874,-0.1205648755740646,-0.05355915167890227,0.9562802859756441,-0.05686908748529623,0.5369989054417552
1780625760414477800,0.438477783203125,-0.2402787697420044,0.2625406177169459,-0.12202316419063024,-0.0495193711446127,0.9555510980972308,-0.05572287288892599,0.5414054074154949
1780625760424472800,0.448472900390625,-0.2451527495303347,0.2641486129098983,-0.12383928946454191,-0.04574862325672282,0.9549310269829147,-0.05473774949345136,0.5445635027431637
1780625760434468900,0.45846875,-0.25030074915105677,0.26566183305711255,-0.12576303567510053,-0.04185875889066776,0.9543167488003633,-0.053729727940780875,0.5475131344708128
1780625760444463600,0.468463623046875,-0.25532773390056673,0.267556523671182,-0.12759901151550587,-0.037855694915517,0.9536005224646101,-0.05270590689763353,0.5512289274607953
1780625760454458600,0.478458740234375,-0.260268054138676,0.2698938094314668,-0.12948697768550643,-0.03469837857358687,0.9527177154752792,-0.052146568601956364,0.5559727956760793
1780625760464453600,0.48845361328125,-0.2655451599519409,0.2726579692246184,-0.1315673853687155,-0.03194019810069813,0.9516588595673183,-0.0518957610036067,0.5616817569740059
1780625760474448600,0.49844873046875,-0.2715252647931836,0.27564013632719003,-0.13394323168225986,-0.02904082868969859,0.950477109761156,-0.051721235267734096,0.5678665863597198
1780625760484444000,0.50844384765625,-0.2782915753126373,0.2787535892162205,-0.1366198444413802,-0.02576243761100121,0.9491985576887637,-0.051513653222931895,0.5743159145672009
1780625760494440000,0.51843994140625,-0.2858331922685554,0.28208125036352777,-0.13957269926857824,-0.022017207614961204,0.9477993264423712,-0.051246296503856426,0.5811888836846518
1780625760504435000,0.52843505859375,-0.2941074310452441,0.28572343491659596,-0.14277648767521364,-0.017838120724462274,0.9462457900535145,-0.05095067524767061,0.5886975729652717
1780625760514429700,0.5384296875,-0.300884704610001,0.2896679663190562,-0.1452223262012945,-0.013571893568973913,0.9446987675311358,-0.05047025983972263,0.5967495203775236
1780625760524424400,0.548424560546875,-0.29714829640011997,0.2936104994884621,-0.1428732092129632,-0.010572018015892883,0.9439144030246195,-0.04904939189757917,0.6044408031245225
1780625760534419500,0.55841943359375,-0.28287359400158096,0.2969886858748623,-0.13581125934862118,-0.009187199030158811,0.9440185505754657,-0.046712782998336276,0.6106668333514303
1780625760544414500,0.56841455078125,-0.2648813047427577,0.29956589428453223,-0.12714174715351187,-0.00857548350809694,0.9445403784725911,-0.04403090934301219,0.6151738379826611
1780625760554410500,0.578410400390625,-0.2479714874976668,0.3020234452864094,-0.11887199443790834,-0.007198508304890628,0.9449670070992132,-0.04109417868176144,0.6194338329727184
1780625760564405500,0.588405517578125,-0.23458555447337645,0.3049475689859276,-0.11199455164596504,-0.004147739268074751,0.9450007196252429,-0.037920257388093744,0.6246890414346777
1780625760574400500,0.598400390625,-0.2267857737288735,0.30860211336008975,-0.10710940769153801,0.00291881296644482,0.9445387132064503,-0.033747772850321656,0.6313099081502889
1780625760584395500,0.6083955078125,-0.224498064872692,0.3128107904129733,-0.10427947586578916,0.01321943347813704,0.9436298274132024,-0.028946017020188564,0.6389988640323006
1780625760594390300,0.618390380859375,-0.22630349092151508,0.31708777403445554,-0.1034603669476616,0.022697262854264995,0.9423990617738578,-0.02520411904256034,0.6470830481933076
1780625760604385300,0.62838525390625,-0.22975367653624398,0.32099220424559677,-0.10434394904993842,0.02613989832833752,0.9409952079356619,-0.024580815045641215,0.6550942313290988
1780625760614380500,0.638380615234375,-0.22988277835257453,0.32448417950444514,-0.10508050834024658,0.020752984795137975,0.9396314298261359,-0.027585464850463082,0.663132456797965
1780625760624376600,0.64837646484375,-0.2256429919865652,0.32775919215352406,-0.10420225052591069,0.012862437445903619,0.9384845574346942,-0.031024368253667386,0.6708595593285006
1780625760634371600,0.65837158203125,-0.21873069270884665,0.3309812924484119,-0.1011871907642397,0.010601245498106123,0.9376736465429382,-0.03131370563474243,0.6777500865492467
1780625760644366600,0.66836669921875,-0.21100151672289466,0.3338429737854434,-0.09649343417725462,0.0163781160496572,0.9372708275913558,-0.027592727158829888,0.6830060405577111
1780625760654361600,0.678361572265625,-0.20314101457202685,0.3351962604900552,-0.09178070159065377,0.02225678287151301,0.9373695239169395,-0.023627665811507513,0.6850899212909046
1780625760664356400,0.6883564453125,-0.19445286454165933,0.3343374360268641,-0.08715328212907916,0.025881441612190526,0.9381942260019857,-0.02035765616856963,0.6827067037998907
1780625760674351400,0.698351318359375,-0.18371454772813137,0.3317111942142314,-0.08127310422823819,0.03177364985028558,0.9397457372491644,-0.015506293053816763,0.676373272662739
1780625760684347400,0.708347412109375,-0.16997752771277144,0.3277624986130278,-0.07350143580367426,0.04102659758478002,0.9418586031701869,-0.008471584603527958,0.6670324237001194
1780625760694342400,0.71834228515625,-0.1548330953064705,0.3226759430453979,-0.0649810269008797,0.05122621136153936,0.9442760645474763,-0.0007102140500983709,0.6554078536188739
1780625760704337700,0.728337646484375,-0.14006190807209787,0.316741397552092,-0.056885208201967866,0.06022695540376302,0.9467828531956528,0.006421706135864889,0.6423017079890038
1780625760714332700,0.738332763671875,-0.12680817278601028,0.31052777840491086,-0.04963032491592731,0.06863400156624713,0.9491791062943713,0.012978790177683604,0.6288370636719892
1780625760724327700,0.74832763671875,-0.1164067647518939,0.30444124471420525,-0.043751593336915806,0.07698587141558141,0.9513361229337487,0.01899645333238363,0.615772927591207
1780625760734322400,0.758322509765625,-0.10948566972690009,0.2982645193089993,-0.039776881405274536,0.0838996623053037,0.953357909002918,0.02376399657392302,0.6026348683788205
1780625760744318500,0.768318359375,-0.10491794172783726,0.29157764826369476,-0.037510444809203645,0.08717941372037108,0.9554453565387399,0.026449978395811008,0.5885898501974112
1780625760754313500,0.7783134765625,-0.10091165447509201,0.28413244620894784,-0.03610185982902514,0.08667496624958058,0.9577172034358119,0.02726179777980365,0.5731348907595822
1780625760764308500,0.78830859375,-0.09667517230905578,0.2756449838035317,-0.03488216614806429,0.08429967483487018,0.9602403315168485,0.027234722063909488,0.5556208379415958
1780625760774303500,0.798303466796875,-0.09243117672537769,0.26591862770632635,-0.033694267770995476,0.08190143048996658,0.9630217579372383,0.027223993330329595,0.5355757605123336
1780625760784298500,0.808298583984375,-0.0879405376018078,0.2551399573798298,-0.032245864337861696,0.08073338365850717,0.9659650423364814,0.027845499576894254,0.5133713050732298
1780625760794293500,0.81829345703125,-0.08212360397803517,0.2437015374272673,-0.029997845616120837,0.08087262466588714,0.9689452500462101,0.029239347621212716,0.48987167549194255
1780625760804289500,0.82828955078125,-0.07431096982261695,0.23198658479701814,-0.026667717437969224,0.08190807904678025,0.9718514011594578,0.031240583445941782,0.4659220343097972
1780625760814284500,0.838284423828125,-0.06429425262788871,0.22023909973123967,-0.02231010085309117,0.08237365108043944,0.9746284226007267,0.03311163875441004,0.44208519874951613
1780625760824279600,0.848279541015625,-0.05151022606265913,0.20832852097385005,-0.0168521754031186,0.08021069292674234,0.9773270746489559,0.033867777883803483,0.418148002683633
1780625760834274600,0.858274658203125,-0.03578696946887396,0.19643263101362882,-0.01008958515348341,0.07600774104538396,0.9798844073162689,0.03374896361580182,0.3944294584898969
1780625760844269600,0.86826953125,-0.020202166446704035,0.1850500312380178,-0.0031704766042606114,0.07306174035012368,0.9821347639576202,0.034026105768768106,0.3717778304448866
1780625760854264600,0.8782646484375,-0.01117392705062191,0.174100102812189,0.0009714705581248728,0.0743708059704693,0.984082476449466,0.035637471145469043,0.3498181343524825
1780625760864260400,0.88826025390625,-0.003820805068373332,0.16396321000388397,0.004020698973560656,0.07201497478531874,0.9858300884739832,0.0351990993330946,0.32949240638181554
1780625760874255400,0.89825537109375,0.007341292335711874,0.15494550253421926,0.008718636863808412,0.0656832310667286,0.9873330323965459,0.03300707503200085,0.3115571362654071
1780625760884250400,0.90825048828125,0.023247157463911764,0.14685934959806257,0.015849285211376178,0.059191423198645614,0.988545206676654,0.030977802258057144,0.29562329567681217
1780625760894245400,0.918245361328125,0.04242332585982222,0.1392766573271675,0.02461241895195559,0.0517401292725989,0.9895351859127716,0.02857329307206404,0.2807171743280228
1780625760904240600,0.92824072265625,0.06298909853132419,0.1319158899559456,0.03395039660440266,0.04142443237210245,0.9903716099076326,0.024693883768123513,0.26609743749039044
1780625760914235600,0.938235595703125,0.0839454572717533,0.12474337830386835,0.043420750885874854,0.028658950562149666,0.991047276973974,0.019467189788376388,0.25158949835583144
1780625760924231400,0.9482314453125,0.10510047043347172,0.1178455759061092,0.05296143525632532,0.013635223968107218,0.991533748544051,0.012977507681278316,0.23729094162459607
1780625760934226400,0.958226318359375,0.12634637607422436,0.11130954187559726,0.06252708714698019,-0.0037940779167544344,0.9918034390855339,0.005152152151740984,0.22328952026546395
1780625760944221400,0.968221435546875,0.1474292292975658,0.10532927125855535,0.07205607573173473,-0.022613547677000852,0.9918172215519714,-0.0034964989314418358,0.20997033079219832
1780625760954216400,0.978216552734375,0.16784804079605892,0.10011021440618229,0.08130105271775788,-0.04262907054554263,0.9915656830558951,-0.01286232831214767,0.19772611926557362
1780625760964211500,0.98821142578125,0.18699935371536822,0.0958406404943833,0.08992573223672849,-0.06421705635172788,0.9910567781495123,-0.023115893982725035,0.18689575215099996
1780625760974206500,0.99820654296875,0.2042586499772182,0.09266888796198852,0.09761987809013568,-0.08681165066515471,0.9903182337132787,-0.033949877339777106,0.17785113366739708
1780625760984202500,1.008202392578125,0.2194930170452519,0.09088737291914072,0.10432198176194912,-0.10915423402818647,0.9893742769390026,-0.044664061143928395,0.1713618100186291
1780625760994197500,1.018197509765625,0.23339320912719305,0.09081269320972347,0.11028687702516253,-0.13164083524912962,0.988193777343526,-0.055343729816260664,0.16806375791323722
1780625761004192500,1.028192626953125,0.24703745033523314,0.0924715808094352,0.11589467026118529,-0.15658072344858903,0.9866717931117313,-0.06705347194833561,0.16772115911368096
1780625761014187500,1.0381875,0.26145262727817187,0.09574683863611384,0.12157531665907659,-0.18463410873213917,0.984704545427001,-0.0800555575699436,0.1699155693552158
1780625761024182500,1.0481826171875,0.2770983903503094,0.10038474596436459,0.12752380895985516,-0.21559158827849964,0.9822338546776865,-0.09421910488837729,0.17404965959547733
1780625761034177500,1.058177490234375,0.29376870414074097,0.10588561387133194,0.13366494281686533,-0.2487969910528773,0.9792773650909324,-0.10926001015757754,0.17913075418653612
1780625761044173600,1.068173583984375,0.31126701106533605,0.111562963282657,0.1399891016595673,-0.28362675505692275,0.975880064197403,-0.124959543395228,0.18379116847580115
1780625761054168600,1.07816845703125,0.32964431781043696,0.1165853575701759,0.1466359618565704,-0.320643554923589,0.9720167253141943,-0.14173680457938737,0.18615164979954912
1780625761064163300,1.088163330078125,0.34753689296106366,0.12015845036769278,0.15310228404213613,-0.3604147269629056,0.9677228011715793,-0.16010715737083464,0.184580933138666
1780625761074158300,1.098158447265625,0.3623821198835628,0.1217012816513855,0.15833367571326493,-0.4029680968312428,0.9631162457789016,-0.1803508855772408,0.1782562510631846
1780625761084153300,1.1081533203125,0.3729592353007867,0.12123199016873659,0.16189953776272736,-0.4471448444455309,0.9582815160188818,-0.20196009575563242,0.16773975762502513
1780625761094148400,1.1181484375,0.3816605823023225,0.11974453614526948,0.16488140421234207,-0.49273362591901965,0.9529262258263672,-0.2245151259633036,0.15479613925009258
1780625761104143400,1.128143310546875,0.3925361787630298,0.11828715669812631,0.16913786110824794,-0.5390267570085183,0.9467056497305244,-0.24728335603606053,0.14078085104373692
1780625761114139600,1.1381396484375,0.40685380007972816,0.11760370850914037,0.17511390105136584,-0.5861185706689775,0.9394376875898965,-0.27011358476009045,0.12670013748897638
1780625761124134700,1.148134765625,0.42388052079693245,0.11810629738442194,0.18226871558108687,-0.6346098119356539,0.9310473543143395,-0.29322331104838784,0.1132763348848142
1780625761134129400,1.15812939453125,0.4429764960040396,0.11987119541184278,0.19020972311071188,-0.6843257549904792,0.9215639894164521,-0.31649813305843266,0.100706045191602
1780625761144124400,1.16812451171875,0.46348948310401483,0.1225125815619984,0.19869642789974631,-0.7353143671494409,0.9109820683075591,-0.34003253879688977,0.08820134381301686
1780625761154119400,1.178119384765625,0.48474647296355844,0.12553968246131736,0.2075489058876015,-0.7880191626610538,0.8992028809858127,-0.36413916754018144,0.0746873340909481
1780625761164114400,1.188114501953125,0.5065602711067687,0.12856423809845322,0.21685912379962524,-0.8424958896098885,0.8861095353461028,-0.3889127800051096,0.05919999820698709
1780625761174110500,1.1981103515625,0.5284076875496586,0.1313502155242479,0.2265261773509545,-0.897670216918607,0.8718565494345629,-0.4138832589352579,0.04153825048409317
1780625761184105500,1.20810546875,0.5500949059891643,0.1338242757205901,0.23655146186484316,-0.9518137916927994,0.8567828388052835,-0.4382439548314297,0.02198396011333971
1780625761194100500,1.2181005859375,0.5719037734974505,0.13584732225609647,0.24720349949005552,-1.0022564981786455,0.8414818083987065,-0.4608085181212773,0.0007991443326107829
1780625761204095500,1.228095458984375,0.5933920469418211,0.13687463133463507,0.25853606733830414,-1.045601476047984,0.8269155671189017,-0.480244694495798,-0.02195538641106186
