time,seconds_elapsed,z,y,x
1780625915291200500,0.063200439453125,-9.444693587639927,-2.4980907814368605,-0.853047665612027
1780625915301230600,0.073230712890625,-9.44442763018012,-2.5195716686218974,-0.790525816051662
1780625915311259600,0.083259765625,-9.439865436831116,-2.549046769431233,-0.7494572350170463
1780625915321289500,0.09328955078125,-9.430161204418539,-2.586573074749112,-0.7430226719249039
1780625915331318500,0.103318603515625,-9.415288629457354,-2.6334382862985133,-0.7666304881360382
1780625915341348600,0.1133486328125,-9.395800669655204,-2.6888509614408016,-0.8120340296350419
1780625915351378700,0.123378662109375,-9.37312881911993,-2.7494220422595737,-0.8692053119476885
1780625915361407700,0.13340771484375,-9.349579016706347,-2.8104695084184406,-0.9257523248821496
1780625915371437600,0.1434375,-9.326919441130757,-2.8694389992594718,-0.9722548405990004
1780625915381466600,0.153466552734375,-9.30585911744535,-2.9269898554742335,-1.0020498940777034
1780625915391496700,0.16349658203125,-9.286819485932588,-2.98396291180104,-1.0106089019779114
1780625915401525800,0.17352587890625,-9.271140270763635,-3.036882016561925,-0.9968434114757925
1780625915411555800,0.183555908203125,-9.261803702619671,-3.0774487124890086,-0.9584795593552291
1780625915421584600,0.193584716796875,-9.259225961086154,-3.1017253678724166,-0.9035582479264587
1780625915431614700,0.20361474609375,-9.261847541761398,-3.1100717559352513,-0.8461805563215166
1780625915441643800,0.213643798828125,-9.267422711545228,-3.1073642505422234,-0.7934427264116704
1780625915451673900,0.223673828125,-9.273560775908827,-3.101103728842735,-0.7447250188633799
1780625915461703400,0.233703369140625,-9.278520444142817,-3.0958512151420114,-0.7036675437446683
1780625915471732700,0.243732666015625,-9.280993556258082,-3.0943443177103993,-0.6771801535092293
1780625915481762600,0.253762451171875,-9.280986541995405,-3.0968969248026608,-0.665513023525849
1780625915491791600,0.26379150390625,-9.279899331280589,-3.10161635453999,-0.6586553396508097
1780625915501821700,0.27382177734375,-9.279425284028052,-3.106028910285234,-0.6443862835407257
1780625915511850500,0.2838505859375,-9.280132555514573,-3.108373135323822,-0.6225242880836129
1780625915521880600,0.293880615234375,-9.2817236240983,-3.106909784772992,-0.6058943845937028
1780625915531909600,0.30390966796875,-9.28297157833278,-3.1031954404249786,-0.6058046604836359
1780625915541939700,0.313939697265625,-9.281726546707748,-3.1031562774583694,-0.6247841958396136
1780625915551969800,0.3239697265625,-9.27624197781682,-3.111355658265948,-0.6642172846268862
1780625915561998600,0.33399853515625,-9.266172419223189,-3.1282071320846674,-0.7230149260323494
