time,seconds_elapsed,z,y,x
1780625915282423800,0.054423828125,-0.807952880859375,-0.2735748291015625,-0.23321533203125
1780625915292454000,0.064453857421875,-0.7475433349609375,-0.35235595703125,-0.1907958984375
1780625915302483500,0.0744833984375,-0.704376220703125,-0.408111572265625,-0.1567840576171875
1780625915312512500,0.084512451171875,-0.6756439208984375,-0.3887481689453125,-0.14117431640625
1780625915322542600,0.09454248046875,-0.6467742919921875,-0.2886505126953125,-0.1444244384765625
1780625915332571600,0.104571533203125,-0.70440673828125,-0.3263397216796875,-0.1375885009765625
1780625915342601700,0.114601806640625,-0.718231201171875,-0.356689453125,-0.1452484130859375
1780625915352630500,0.124630615234375,-0.739013671875,-0.362640380859375,-0.16943359375
1780625915362660600,0.13466064453125,-0.8004302978515625,-0.3854827880859375,-0.1944427490234375
1780625915372689700,0.144689697265625,-0.86578369140625,-0.3863983154296875,-0.212646484375
1780625915382719700,0.1547197265625,-0.91082763671875,-0.3677520751953125,-0.2319793701171875
1780625915392749600,0.16474951171875,-0.9345703125,-0.357208251953125,-0.242462158203125
1780625915402778600,0.174778564453125,-0.9470062255859375,-0.3872833251953125,-0.233551025390625
1780625915412808700,0.18480859375,-0.955841064453125,-0.4476470947265625,-0.2000579833984375
1780625915422837800,0.194837646484375,-0.8751373291015625,-0.4442596435546875,-0.163299560546875
1780625915432867800,0.204867919921875,-0.798126220703125,-0.4184722900390625,-0.157623291015625
1780625915442896600,0.214896728515625,-0.791900634765625,-0.3891143798828125,-0.17578125
1780625915452926700,0.2249267578125,-0.8226470947265625,-0.3832550048828125,-0.1985015869140625
1780625915462955800,0.234955810546875,-0.8516387939453125,-0.398406982421875,-0.20538330078125
1780625915472985900,0.24498583984375,-0.873260498046875,-0.4061737060546875,-0.1956329345703125
1780625915483014700,0.2550146484375,-0.900543212890625,-0.3926239013671875,-0.1958160400390625
1780625915493044700,0.265044677734375,-0.9524688720703125,-0.34490966796875,-0.211944580078125
1780625915503074600,0.275074462890625,-0.988372802734375,-0.2838897705078125,-0.21527099609375
