time,seconds_elapsed,dBFS
1780626349803000000,0.006,-21.176258087158203
1780626349904000000,0.107,-21.748151779174805
1780626350021000000,0.224,-17.67409896850586
1780626350137000000,0.34,-19.554227828979492
1780626350254000000,0.457000244140625,-20.669189453125
1780626350371000000,0.574,-20.88438606262207
1780626350487000000,0.69,-18.100143432617188
1780626350603000000,0.806,-15.9854154586792
1780626350720000000,0.923,-18.228734970092773
1780626350836000000,1.039,-19.455827713012695
1780626350953000000,1.156,-20.41771125793457
1780626351069000000,1.272,-18.227951049804688
1780626351186000000,1.388999755859375,-17.055747985839844
1780626351302000000,1.505000244140625,-11.7305269241333
1780626351419000000,1.622,-12.89385986328125
1780626351536000000,1.739,-11.083962440490723
1780626351652000000,1.855,-12.510129928588867
1780626351768000000,1.971,-14.1448335647583
1780626351885000000,2.088,-13.817292213439941
1780626352001000000,2.204,-13.056375503540039
1780626352118000000,2.321000244140625,-12.903125762939453
1780626352234000000,2.436999755859375,-6.182717323303223
1780626352351000000,2.554,-4.462087154388428
1780626352467000000,2.67,-8.020692825317383
1780626352584000000,2.787,-12.18005657196045
1780626352700000000,2.903,-8.465523719787598
1780626352817000000,3.02,-5.584245681762695
1780626352933000000,3.136,-7.806824207305908
1780626353050000000,3.252999755859375,-11.476393699645996
1780626353166000000,3.369000244140625,-5.477898120880127
1780626353283000000,3.486,-9.677778244018555
1780626353399000000,3.602,-13.09361457824707
1780626353516000000,3.719,-14.94614028930664
1780626353632000000,3.835,-15.043561935424805
1780626353749000000,3.952,-11.088763236999512
1780626353865000000,4.068,-13.790812492370605
1780626353982000000,4.185000244140625,-13.724289894104004
1780626354098000000,4.300999755859375,-14.653804779052734
1780626354215000000,4.418,-16.535139083862305
1780626354331000000,4.534,-14.871695518493652
1780626354448000000,4.651,-17.283292770385742
1780626354564000000,4.767,-18.050525665283203
1780626354681000000,4.884,-20.84381103515625
1780626354797000000,5,-16.833580017089844
1780626354914000000,5.116999755859375,-15.90922737121582
1780626355030000000,5.233000244140625,-16.54583168029785
1780626355147000000,5.35,-17.954608917236328
1780626355247000000,5.45,-16.671640396118164
1780626355363000000,5.566,-15.03332233428955
1780626355480000000,5.683,-15.656120300292969
1780626355596000000,5.799,-15.941412925720215
1780626355713000000,5.916,-17.99932098388672
1780626355829000000,6.032,-15.087577819824219
1780626355929000000,6.132,-14.639498710632324
1780626356045000000,6.248,-17.444141387939453
1780626356162000000,6.364999755859375,-19.336423873901367
1780626356278000000,6.481000244140625,-18.598005294799805
1780626356395000000,6.598,-19.724843978881836
1780626356511000000,6.714,-16.404436111450195
1780626356611000000,6.814,-13.005706787109375
1780626356728000000,6.931,-14.85264778137207
1780626356844000000,7.047,-15.161154747009277
1780626356961000000,7.164,-15.814491271972656
1780626357077000000,7.28,-16.9918270111084
1780626357194000000,7.396999755859375,-18.749242782592773
1780626357310000000,7.513000244140625,-18.827970504760742
1780626357427000000,7.63,-20.133590698242188
1780626357543000000,7.746,-19.45176124572754
1780626357660000000,7.863,-18.857946395874023
1780626357776000000,7.979,-20.4273681640625
1780626357893000000,8.096,-16.52154541015625
1780626358009000000,8.212,-17.017484664916992
1780626358126000000,8.329000244140625,-16.591140747070312
1780626358242000000,8.444999755859374,-18.02773666381836
1780626358359000000,8.562,-15.25072956085205
1780626358475000000,8.678,-17.109098434448242
1780626358592000000,8.795,-15.349630355834961
1780626358708000000,8.911,-14.42680549621582
1780626358825000000,9.028,-12.651700973510742
1780626358941000000,9.144,-15.44784164428711
1780626359058000000,9.260999755859375,-17.832904815673828
1780626359174000000,9.377000244140625,-13.406542778015137
1780626359291000000,9.494,-15.617104530334473
1780626359407000000,9.61,-14.538445472717285
1780626359524000000,9.727,-16.60153579711914
1780626359640000000,9.843,-18.271875381469727
1780626359757000000,9.96,-18.835466384887695
1780626359873000000,10.076,-15.64200210571289
1780626359990000000,10.193000244140626,-17.460477828979492
1780626360106000000,10.308999755859375,-18.34346580505371
1780626360223000000,10.426,-18.98004722595215
1780626360339000000,10.542,-20.62605094909668
1780626360456000000,10.659,-19.136917114257812
1780626360573000000,10.776,-13.879069328308105
1780626360689000000,10.892,-10.907045364379883
1780626360805000000,11.008,-13.203153610229492
1780626360922000000,11.124999755859376,-15.034968376159668
1780626361039000000,11.242,-14.217047691345215
1780626361155000000,11.358,-14.00014877319336
1780626361271000000,11.474,-11.799691200256348
1780626361388000000,11.591,-13.754209518432617
1780626361505000000,11.708,-13.670145988464355
1780626361621000000,11.824,-11.451024055480957
1780626361738000000,11.940999755859375,-11.568220138549805
1780626361854000000,12.057000244140625,-11.392049789428711
1780626361971000000,12.174,-13.351523399353027
1780626362087000000,12.29,-9.034611701965332
1780626362204000000,12.407,-10.74320125579834
1780626362320000000,12.523,-11.905773162841797
1780626362437000000,12.64,-10.94525146484375
1780626362553000000,12.756,-12.549703598022461
1780626362670000000,12.873000244140625,-14.057307243347168
1780626362786000000,12.988999755859375,-12.835502624511719
1780626362903000000,13.106,-14.098429679870605
1780626363019000000,13.222,-11.48396110534668
1780626363136000000,13.339,-13.37463092803955
1780626363252000000,13.455,-11.919921875
1780626363369000000,13.572,-13.72238826751709
1780626363485000000,13.688,-14.37346076965332
1780626363602000000,13.804999755859376,-15.977312088012695
1780626363718000000,13.921000244140625,-11.024015426635742
1780626363835000000,14.038,-12.544443130493164
1780626363951000000,14.154,-13.91632080078125
1780626364068000000,14.271,-9.850301742553711
1780626364184000000,14.387,-12.087278366088867
