time,seconds_elapsed,dBFS
1780626033027000000,0.011,-17.824430465698242
1780626033137000000,0.121,-19.227266311645508
1780626033254000000,0.238000244140625,-17.9310359954834
1780626033370000000,0.353999755859375,-16.574905395507812
1780626033487000000,0.471,-15.132534980773926
1780626033604000000,0.588,-15.61508846282959
1780626033720000000,0.704,-16.90874671936035
1780626033836000000,0.82,-14.902507781982422
1780626033938000000,0.921999755859375,-16.635732650756836
1780626034038000000,1.022000244140625,-15.171021461486816
1780626034139000000,1.123,-16.265777587890625
1780626034243000000,1.227,-15.028595924377441
1780626034348000000,1.332,-14.534468650817871
1780626034451000000,1.435,-12.965410232543945
1780626034556000000,1.54,-13.604690551757812
1780626034656000000,1.64,-15.036687850952148
1780626034761000000,1.745,-9.342967987060547
1780626034866000000,1.849999755859375,-11.774843215942383
1780626034971000000,1.955,-12.942360877990723
1780626035076000000,2.06,-14.534854888916016
1780626035177000000,2.161,-12.468307495117188
1780626035282000000,2.265999755859375,-11.94452953338623
1780626035387000000,2.371,-14.118167877197266
1780626035492000000,2.476,-14.900857925415039
1780626035597000000,2.581,-11.940699577331543
1780626035702000000,2.686000244140625,-7.860809326171875
1780626035807000000,2.791,-7.053145408630371
1780626035908000000,2.892,-9.670668601989746
1780626036011000000,2.995,-4.443262100219727
1780626036116000000,3.1,-6.098489284515381
1780626036221000000,3.205,-9.99268627166748
1780626036326000000,3.310000244140625,-12.175924301147461
1780626036431000000,3.415,-15.033270835876465
1780626036534000000,3.518000244140625,-17.49272918701172
1780626036639000000,3.623,-17.503938674926758
1780626036744000000,3.728,-17.033227920532227
1780626036849000000,3.833,-17.95269012451172
1780626036954000000,3.937999755859375,-14.521681785583496
1780626037059000000,4.043,-15.437721252441406
1780626037164000000,4.148,-16.08892822265625
1780626037269000000,4.253,-16.463973999023438
1780626037374000000,4.358000244140625,-16.745044708251953
1780626037479000000,4.463,-17.91962242126465
1780626037589000000,4.573,-17.634126663208008
1780626037694000000,4.678000244140625,-16.922019958496094
1780626037799000000,4.783,-16.799129486083984
1780626037902000000,4.886000244140625,-15.505566596984863
1780626038003000000,4.987,-14.197916984558105
1780626038105000000,5.089,-15.639781951904297
1780626038210000000,5.193999755859375,-16.482730865478516
1780626038315000000,5.299,-15.257275581359863
1780626038420000000,5.404,-15.654763221740723
1780626038525000000,5.509,-16.52324867248535
1780626038630000000,5.614000244140625,-17.967252731323242
1780626038733000000,5.717,-17.152143478393555
1780626038838000000,5.822000244140625,-18.680747985839844
1780626038942000000,5.926000244140625,-15.879383087158203
1780626039047000000,6.031,-17.410903930664062
1780626039153000000,6.137,-16.361791610717773
1780626039258000000,6.241999755859375,-17.48162078857422
1780626039363000000,6.347,-19.337635040283203
1780626039468000000,6.452,-16.701005935668945
1780626039573000000,6.557,-17.814002990722656
1780626039674000000,6.657999755859375,-16.649927139282227
1780626039777000000,6.761,-17.06638526916504
1780626039882000000,6.865999755859375,-14.502842903137207
1780626039983000000,6.967,-16.155553817749023
1780626040088000000,7.072,-14.94176959991455
1780626040193000000,7.177,-13.194947242736816
1780626040298000000,7.281999755859375,-14.710297584533691
1780626040403000000,7.387,-16.110570907592773
1780626040508000000,7.492,-16.43466567993164
1780626040613000000,7.597,-15.860977172851562
1780626040718000000,7.702000244140625,-15.8121337890625
1780626040822000000,7.806000244140625,-16.285263061523438
1780626040927000000,7.911,-17.473859786987305
1780626041033000000,8.017,-18.52054786682129
1780626041134000000,8.118000244140624,-15.24478816986084
1780626041239000000,8.223,-16.774547576904297
1780626041345000000,8.329,-12.860440254211426
1780626041450000000,8.433999755859375,-14.452860832214355
1780626041552000000,8.536,-16.228801727294922
1780626041657000000,8.641,-17.398889541625977
1780626041763000000,8.747,-16.607494354248047
1780626041868000000,8.852,-17.75477409362793
1780626041973000000,8.957,-16.197553634643555
1780626042074000000,9.057999755859376,-14.711711883544922
1780626042179000000,9.163,-16.747657775878906
1780626042284000000,9.268,-17.768985748291016
1780626042390000000,9.374000244140625,-17.968917846679688
1780626042490000000,9.473999755859374,-16.737079620361328
1780626042595000000,9.579,-13.70632553100586
1780626042700000000,9.684,-14.885050773620605
1780626042805000000,9.789,-14.458852767944336
1780626042908000000,9.892,-14.014562606811523
1780626043013000000,9.997,-12.55866527557373
1780626043116000000,10.1,-14.191007614135742
1780626043221000000,10.205,-14.463150024414062
1780626043326000000,10.310000244140625,-15.282613754272461
1780626043431000000,10.415,-15.030896186828613
1780626043536000000,10.52,-14.754101753234863
1780626043640000000,10.624,-14.920711517333984
1780626043746000000,10.729999755859374,-5.769288063049316
1780626043851000000,10.835,-8.774961471557617
1780626043957000000,10.941,-11.233985900878906
1780626044060000000,11.044,-13.258646965026855
1780626044164000000,11.148,-13.984030723571777
1780626044269000000,11.253,-12.47783088684082
1780626044374000000,11.358000244140625,-11.663676261901855
1780626044479000000,11.463,-6.991183757781982
1780626044585000000,11.569,-10.144011497497559
1780626044690000000,11.673999755859375,-12.762622833251953
1780626044795000000,11.779,-14.84837818145752
1780626044896000000,11.88,-13.911348342895508
1780626044997000000,11.981,-13.59907341003418
1780626045102000000,12.086000244140624,-14.391845703125
1780626045205000000,12.189,-15.739048957824707
1780626045310000000,12.294000244140625,-17.335464477539062
1780626045412000000,12.396,-14.135580062866211
1780626045517000000,12.501,-14.170022964477539
1780626045619000000,12.603,-14.693861961364746
1780626045723000000,12.707,-16.477174758911133
1780626045826000000,12.809999755859375,-14.011242866516113
1780626045929000000,12.913,-15.235819816589355
1780626046034000000,13.017999755859375,-15.040091514587402
1780626046134000000,13.118000244140624,-14.825401306152344
1780626046237000000,13.221,-15.227192878723145
1780626046340000000,13.324,-13.90617561340332
1780626046445000000,13.429,-13.209529876708984
1780626046550000000,13.534000244140625,-13.996379852294922
1780626046653000000,13.637,-14.060652732849121
1780626046759000000,13.743,-15.221505165100098
1780626046860000000,13.844,-16.105695724487305
1780626046966000000,13.950000244140625,-17.00534439086914
1780626047071000000,14.055,-16.35988998413086
1780626047176000000,14.16,-17.44230079650879
1780626047281000000,14.265,-14.034971237182617
1780626047386000000,14.369999755859375,-15.252840995788574
1780626047491000000,14.475,-13.398502349853516
1780626047596000000,14.58,-14.950325012207031
1780626047700000000,14.684,-17.00838279724121
1780626047806000000,14.790000244140625,-15.0287446975708
1780626047908000000,14.892,-16.2646427154541
1780626048013000000,14.997,-15.021333694458008
1780626048118000000,15.102000244140624,-9.360329627990723
1780626048223000000,15.207,-11.789145469665527
1780626048329000000,15.313,-13.661885261535645
1780626048434000000,15.417999755859375,-15.170202255249023
1780626048537000000,15.521,-15.429064750671387
1780626048642000000,15.625999755859375,-16.593069076538086
1780626048743000000,15.727,-15.934770584106445
