time,seconds_elapsed,z,y,x
1780626347299970300,0.05797021484375,-9.51598655348122,-2.005135122552514,1.2632545333348213
1780626347309965300,0.06796533203125,-9.51125075713098,-2.0243919039472935,1.2681976888254285
1780626347319960300,0.077960205078125,-9.507081947013734,-2.053482243222743,1.2525934385888278
1780626347329956600,0.08795654296875,-9.503522208705544,-2.0967212270990014,1.207151391710341
1780626347339950800,0.097950927734375,-9.499597144216299,-2.157962316133827,1.1274907027572392
1780626347349945900,0.10794580078125,-9.491729479581117,-2.2417980988144874,1.0255720778319983
1780626347359941600,0.117941650390625,-9.475080542597174,-2.3548327957116064,0.9208693751461804
1780626347369936600,0.1279365234375,-9.447976262572407,-2.493576518882811,0.829578892545402
1780626347379932000,0.137931884765625,-9.416142031416296,-2.6281094924911854,0.7743979072671383
1780626347389928000,0.147927978515625,-9.389037751391529,-2.723630013877153,0.7734304504744708
1780626347399923000,0.1579228515625,-9.374238826188444,-2.7551071021586653,0.8387007219601422
1780626347409918700,0.167918701171875,-9.375774365192651,-2.7185534412652252,0.9352541665904224
1780626347419913700,0.177913818359375,-9.387535530135034,-2.6343478023588656,1.0510828050550072
1780626347429908700,0.18790869140625,-9.403432771968841,-2.517819271996617,1.1859261597868054
1780626347439904800,0.19790478515625,-9.42141091172993,-2.3808630167640743,1.3186705694779752
1780626347449900000,0.207900146484375,-9.43920609613955,-2.2395101340077814,1.4340022912710904
1780626347459894800,0.217894775390625,-9.455698965778947,-2.108790142816305,1.5209037451326846
1780626347469890800,0.227890869140625,-9.468483044028282,-2.003961548728496,1.5818804841428995
1780626347479885800,0.2378857421875,-9.474970067960024,-1.9363395264849066,1.6266269499726593
1780626347489880800,0.247880859375,-9.474020804411172,-1.9108228079125285,1.6619481464616954
1780626347499876900,0.257876953125,-9.466624848940969,-1.9270158178225159,1.6852333065897225
1780626347509871600,0.26787158203125,-9.455613041061163,-1.9793023237682879,1.6864552496001124
1780626347519866600,0.27786669921875,-9.442510398381948,-2.0579406839363275,1.6656113451443613
1780626347529863000,0.28786279296875,-9.428871164608001,-2.1493884029254318,1.6269313397467136
1780626347539858000,0.29785791015625,-9.415469831243156,-2.2436346665918827,1.5765199800230563
