time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1780625510654911200,0.0709111328125,0.3707189601222059,-0.16288957963605816,-0.18218876754098423,0.005559066496497646,-0.9691042751345013,-0.03333236444070428,0.33403698978810253
1780625510664940300,0.080940185546875,0.36680023640927184,-0.16164889456730872,-0.18030230619094403,0.0052485180058266965,-0.9696890848003497,-0.03261583711848613,0.33128641031362877
1780625510674970000,0.09097021484375,0.36315597721402787,-0.15884672419454943,-0.17870406253089138,0.00641016927212863,-0.9704555999106765,-0.032379860748840146,0.3256030529896966
1780625510684999200,0.100999267578125,0.3606458849985474,-0.1547564864028366,-0.17782164653303983,0.009429850909532052,-0.971259225498998,-0.0329448975948479,0.31764891710431054
1780625510695029200,0.111029296875,0.3599515313646654,-0.1499471282339308,-0.1780022777167714,0.014940841904700568,-0.9719161195171833,-0.03478476187177971,0.3087369995206472
1780625510705058300,0.121058349609375,0.3622770113097377,-0.1441291333645978,-0.17991474685129852,0.024365504568314943,-0.972298331958227,-0.038643979506676834,0.2985956359826898
1780625510715088100,0.131088134765625,0.36845118281195066,-0.13696196352320608,-0.18401550757626553,0.039085323621539624,-0.9722844828710001,-0.04519491067674289,0.28688416557598084
1780625510725117200,0.1411171875,0.3772054154903519,-0.12944107738705654,-0.1894839064134678,0.05708284230217109,-0.9718438036522687,-0.053484450808594486,0.275327278348163
1780625510735147300,0.151147216796875,0.3849986909337513,-0.12258223393284572,-0.19431339828426983,0.07416832643143803,-0.971315568388642,-0.06133497806627516,0.265061354575425
1780625510745176300,0.16117626953125,0.39187720887791627,-0.11680173619110795,-0.19835880992939545,0.08700186933502123,-0.9708250300986757,-0.06715564227049006,0.2562242950416803
1780625510755206400,0.171206298828125,0.39594057300470165,-0.11242900784228903,-0.20066536430018028,0.09406316064061876,-0.9706567291215461,-0.07013278287440111,0.24897055560072953
1780625510765235200,0.181235107421875,0.3972728337188758,-0.1096590538063694,-0.20133618947883555,0.09554368402580714,-0.9708136078358316,-0.07042376099523404,0.24367914897176374
1780625510775265300,0.191265380859375,0.396650387662178,-0.10851241601184194,-0.20086124404685113,0.09296954818181814,-0.9711529131755892,-0.06886155643061287,0.24074636583871054
1780625510785294300,0.20129443359375,0.3952589556465053,-0.10873366392131668,-0.1999470660213487,0.08867938293091537,-0.9714708631834941,-0.06665259142266905,0.24022086263136255
