time,seconds_elapsed,relativeAltitude,pressure
1780625510107189500,-0.476810546875,0,1010.1244354248047
1780625511134473500,0.550473388671875,0.021139144897460938,1010.1218414306641
1780625512161784300,1.577784423828125,0.0026416778564453125,1010.1239776611328
1780625513189131500,2.605131591796875,0.0026416778564453125,1010.1239776611328
1780625514216468500,3.632468505859375,-0.0052852630615234375,1010.1251220703125
1780625514416137500,3.832137451171875,-0.026422500610351562,1010.1275634765625
1780625515476605400,4.89260546875,-0.03699302673339844,1010.1289367675781
1780625516537045500,5.95304541015625,-0.06605720520019531,1010.1322174072266
1780625517597481500,7.0134814453125,-0.06605720520019531,1010.1324462890625
1780625518657953500,8.07395361328125,-0.08455467224121094,1010.1345062255859
1780625519718423600,9.134423583984375,-0.09776496887207031,1010.1360321044922
1780625520778882600,10.194882568359375,-0.13475799560546875,1010.1404571533203
1780625521839371500,11.25537158203125,-0.16382408142089844,1010.1439666748047
1780625522899811600,12.3158115234375,-0.2695159912109375,1010.1566314697266
1780625523960328700,13.37632861328125,-0.3461437225341797,1010.1659393310547
1780625525020792600,14.43679248046875,-0.3831367492675781,1010.1702880859375
1780625526081283600,15.49728369140625,-0.38577842712402344,1010.1707458496094
1780625527141754400,16.55775439453125,-0.3910636901855469,1010.1712036132812
1780625528202249500,17.61824951171875,-0.3910636901855469,1010.1712036132812
1780625529262696400,18.678696533203127,-0.3910636901855469,1010.1712036132812
1780625530323203600,19.73920361328125,-0.3910636901855469,1010.1713562011719
1780625531383661600,20.79966162109375,-0.4306983947753906,1010.1760101318359
1780625532444080600,21.86008056640625,-0.4306983947753906,1010.1760101318359
1780625533504539400,22.920539306640624,-0.4306983947753906,1010.1760101318359
1780625534564953600,23.98095361328125,-0.4386253356933594,1010.1768493652344
1780625535625396500,25.041396484375,-0.5443172454833984,1010.1895141601562
1780625536685816600,26.101816650390624,-1.0569286346435547,1010.2510070800781
1780625537746201600,27.16220166015625,-2.2406864166259766,1010.39306640625
1780625538806655500,28.222655517578126,-3.294973373413086,1010.5194091796875
1780625539867097600,29.28309765625,-4.460235595703125,1010.6588745117188
1780625540927526400,30.3435263671875,-5.593790054321289,1010.7949066162109
1780625541987963400,31.40396337890625,-6.312501907348633,1010.8811950683594
1780625543048400400,32.464400390625,-6.357421875,1010.8865356445312
1780625544108933400,33.52493334960938,-6.362705230712891,1010.8872985839844
1780625545169415400,34.58541552734375,-6.362705230712891,1010.8872985839844
1780625546229849600,35.645849609375,-6.299289703369141,1010.8795166015625
1780625547290245600,36.70624560546875,-6.198883056640625,1010.8676147460938
1780625548350676500,37.766676513671875,-6.122255325317383,1010.858154296875
1780625549411125500,38.82712548828125,-6.111684799194336,1010.8568572998047
