time,seconds_elapsed,dBFS
1780625510588000000,0.004,-12.549983978271484
1780625510692000000,0.108,-8.886605262756348
1780625510809000000,0.225,-12.349528312683105
1780625510926000000,0.342000244140625,-15.180115699768066
1780625511042000000,0.457999755859375,-17.91046142578125
1780625511159000000,0.575,-9.913655281066895
1780625511275000000,0.691,-13.811888694763184
1780625511392000000,0.808,-15.633493423461914
1780625511508000000,0.924,-17.1115779876709
1780625511625000000,1.041,-18.261144638061523
1780625511741000000,1.157,-17.737770080566406
1780625511857000000,1.273,-17.245485305786133
1780625511974000000,1.390000244140625,-17.001476287841797
1780625512090000000,1.505999755859375,-16.052907943725586
1780625512207000000,1.623,-16.393970489501953
1780625512323000000,1.739,-16.134191513061523
1780625512440000000,1.856,-16.610919952392578
1780625512556000000,1.972,-17.346166610717773
1780625512673000000,2.089,-14.17978572845459
1780625512789000000,2.205,-9.445268630981445
1780625512906000000,2.321999755859375,-9.398283004760742
1780625513022000000,2.438000244140625,-11.983176231384277
1780625513139000000,2.555,-14.107034683227539
1780625513255000000,2.671,-16.01026725769043
1780625513372000000,2.788,-15.804752349853516
1780625513488000000,2.904,-14.948454856872559
1780625513604000000,3.02,-12.575113296508789
1780625513721000000,3.137,-6.230382442474365
1780625513838000000,3.254000244140625,-9.372179985046387
1780625513954000000,3.369999755859375,-12.264269828796387
1780625514070000000,3.486000244140625,-14.526702880859375
1780625514187000000,3.603,-15.418086051940918
1780625514303000000,3.719,-13.776385307312012
1780625514404000000,3.82,-10.615416526794434
1780625514520000000,3.936,-12.293420791625977
1780625514636000000,4.052,-14.396185874938965
1780625514753000000,4.169,-16.150604248046875
1780625514869000000,4.285,-10.98175048828125
1780625514986000000,4.401999755859375,-11.764227867126465
1780625515102000000,4.518000244140625,-9.036314010620117
1780625515219000000,4.635,-9.452951431274414
1780625515335000000,4.751,-11.765212059020996
1780625515452000000,4.868,-13.84308910369873
1780625515568000000,4.984,-15.329411506652832
1780625515685000000,5.101,-13.239365577697754
1780625515801000000,5.217,-12.081692695617676
1780625515918000000,5.334000244140625,-13.628907203674316
1780625516034000000,5.449999755859375,-15.222564697265625
1780625516150000000,5.566000244140625,-13.560860633850098
1780625516267000000,5.683,-4.980035781860352
1780625516384000000,5.8,-4.983947277069092
1780625516500000000,5.916,-1.0895180702209473
1780625516616000000,6.032,-4.4042510986328125
1780625516733000000,6.149,-7.902525901794434
1780625516849000000,6.265,-10.505180358886719
1780625516966000000,6.382000244140625,-11.761283874511719
1780625517082000000,6.497999755859375,-14.333046913146973
1780625517199000000,6.615,-13.030946731567383
1780625517315000000,6.731,-14.646788597106934
1780625517432000000,6.848,-15.223722457885742
1780625517548000000,6.964,-14.861740112304688
1780625517665000000,7.081,-16.286203384399414
1780625517781000000,7.197,-16.471586227416992
1780625517898000000,7.313999755859375,-15.146917343139648
1780625518014000000,7.430000244140625,-15.652082443237305
1780625518131000000,7.547,-16.106525421142578
1780625518247000000,7.663,-15.947179794311523
1780625518364000000,7.78,-13.25582504272461
1780625518480000000,7.896,-13.50471305847168
1780625518597000000,8.013,-10.460433959960938
1780625518713000000,8.129,-12.186135292053223
1780625518830000000,8.246000244140625,-13.668965339660645
1780625518946000000,8.361999755859374,-14.880635261535645
1780625519063000000,8.479,-14.517637252807617
1780625519179000000,8.595,-8.834620475769043
1780625519296000000,8.712,-10.086024284362793
1780625519413000000,8.829,-12.522283554077148
1780625519529000000,8.945,-13.841557502746582
1780625519645000000,9.061,-14.853374481201172
1780625519762000000,9.177999755859375,-13.660308837890625
1780625519878000000,9.294000244140625,-7.373953819274902
1780625519995000000,9.411,-10.206290245056152
1780625520111000000,9.527,-11.915121078491211
1780625520228000000,9.644,-13.535370826721191
1780625520344000000,9.76,-14.168960571289062
1780625520461000000,9.877,-8.666868209838867
1780625520577000000,9.993,-11.31594467163086
1780625520694000000,10.110000244140625,-9.499954223632812
1780625520810000000,10.225999755859375,-11.447161674499512
1780625520927000000,10.343,-12.636221885681152
1780625521043000000,10.459,-10.853313446044922
1780625521160000000,10.576,-11.047473907470703
1780625521276000000,10.692,-12.69711971282959
1780625521393000000,10.809,-13.708267211914062
1780625521509000000,10.925,-12.823256492614746
1780625521626000000,11.041999755859376,-14.220409393310547
1780625521742000000,11.158000244140625,-14.524283409118652
1780625521859000000,11.275,-10.417880058288574
1780625521975000000,11.391,-12.546587944030762
1780625522092000000,11.508,-13.333818435668945
1780625522192000000,11.608,-14.555475234985352
1780625522308000000,11.724,-13.70715045928955
1780625522424000000,11.84,-11.87590503692627
1780625522541000000,11.957,-13.878491401672363
1780625522657000000,12.073,-16.09893798828125
1780625522774000000,12.190000244140625,-16.597341537475586
1780625522890000000,12.305999755859375,-16.507291793823242
1780625523007000000,12.423,-11.948726654052734
1780625523123000000,12.539,-12.661898612976074
1780625523240000000,12.656,-13.946436882019043
1780625523356000000,12.772,-13.601064682006836
1780625523473000000,12.889,-13.5581693649292
1780625523589000000,13.005,-12.857954025268555
1780625523706000000,13.121999755859376,-8.849560737609863
1780625523822000000,13.238000244140625,-11.6741361618042
1780625523939000000,13.355,-13.543002128601074
1780625524055000000,13.471,-14.789881706237793
1780625524172000000,13.588,-15.225091934204102
1780625524288000000,13.704,-14.77015495300293
1780625524405000000,13.821,-16.0334529876709
1780625524521000000,13.937,-16.796749114990234
1780625524638000000,14.054000244140624,-14.862552642822266
